Nazwa filmu,Url filmu,Data i autor,Czas trwania
Politechnika Krakowska im. Tadeusza ... - Facebook,https://www.facebook.com/Politechnika.Krakowska/videos/vb.111397062269317/2513130235431548/?type=2&theater,3 paź 2019,▶ 2:05:24
Nowy rekord w Dniu Liczby Pi na Politechnice Krakowskiej,https://www.pk.edu.pl/index.php?option=com_content&view=article&id=2231:nowy-rekord-w-dniu-liczby-pi-na-politechnice-krakowskiej&catid=9:archiwalne&Itemid=405&lang=pl,15 mar 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:26
Politechnika Krakowska im. Tadeusza Kościuszki - Święto ...,https://www.facebook.com/Politechnika.Krakowska/videos/%C5%9Bwi%C4%99to-szko%C5%82y-2018/1697710490304625/,15 maj 2018,▶
Politechnika Krakowska im. Tadeusza Kościuszki - Studia na ...,https://fr-fr.facebook.com/Politechnika.Krakowska/videos/1378461825562828/,30 cze 2017,▶
Politechnika Krakowska im. Tadeusza Kościuszki - Gadżety ...,https://www.facebook.com/Politechnika.Krakowska/videos/gad%C5%BCety-pk-na-wil-u/1904376519658517/,12 paź 2018,▶ 0:39
Politechnika Krakowska 2016 - YouTube,https://www.youtube.com/watch?v=bBLz0nSLt7U,15 lut 2016 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 1:29
Politechnika Krakowska „Prosta droga do Kariery” - YouTube,https://www.youtube.com/watch?v=cjrR8Tcpf6A,28 cze 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 1:05
Bieg Kościuszkowski walczy o Nagrodę „ProJuvenes ...,https://www.pk.edu.pl/index.php?option=com_content&view=article&id=2691:bieg-kosciuszkowski-walczy-o-nagrode-projuvenes-glosowanie-online-trwa&catid=49&lang=pl&Itemid=944,20 lis 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:56
W Galerii GIL trwa akcja O włos od... - Politechnika Krakowska ...,https://www.facebook.com/Politechnika.Krakowska/videos/w-galerii-gil-trwa-akcja-o-w%C5%82os-od-pomocy-na-pk-je%C5%9Bli-chcesz-zmieni%C4%87-sw%C3%B3j-image-/347980912602754/,13 lis 2018,▶ 1:07:16
Ścieżki komercjalizacji na PK - Komercjalizacja - Centrum ...,"https://www.transfer.edu.pl/pl/sciezki-komercjalizacji-na-pk,156.htm",31 sie 2015 - Przesłany przez: CTTPK0,▶ 1:21
„Europejskie Dziedzictwo Techniczne”. - Politechnika ...,https://www.pk.edu.pl/index.php?option=com_content&view=article&id=2813:projekt-europejskie-dziedzictwo-techniczne-cenna-kolekcja-biblioteki-pk-w-sieci&catid=49&lang=pl&Itemid=944,22 lut 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 1:58
Galeria | Adapciak 2019 Politechnika Krakowska,http://www.adapciak.pk.edu.pl/2018/?page_id=58,28 sie 2018 - Przesłany przez: Samorząd Studencki Politechniki Krakowskiej,▶ 2:33
